Matching text,URI,Label text
Channels (Hydraulic engineering),http://id.worldcat.org/fast/852125,Channels (Hydraulic engineering)
Charcoal,http://id.worldcat.org/fast/852320,Charcoal
Chiefdoms,http://id.worldcat.org/fast/854199,Chiefdoms
Childbirth,http://id.worldcat.org/fast/854780,Childbirth
Chinese provinces,http://id.worldcat.org/fast/1736609,Chinese provinces
Chipmunks,http://id.worldcat.org/fast/857855,Chipmunks
Chlorophyll,http://id.worldcat.org/fast/858216,Chlorophyll
Church buildings,http://id.worldcat.org/fast/860599,Church buildings
cities,http://id.worldcat.org/fast/861748,Cities and towns
Cities,http://id.worldcat.org/fast/861748,Cities and towns
Cities and towns,http://id.worldcat.org/fast/861748,Cities and towns
City halls,http://id.worldcat.org/fast/862139,City halls
City planning,http://id.worldcat.org/fast/862177,City planning
City planning districts,http://id.worldcat.org/fast/862290,City planning districts
City walls,http://id.worldcat.org/fast/862310,City walls
Civic centers,http://id.worldcat.org/fast/862320,Civic centers
Climatic changes,http://id.worldcat.org/fast/864229,Climatic changes
Climatology,http://id.worldcat.org/fast/864281,Climatology
Clinics,http://id.worldcat.org/fast/864441,Clinics
Closed-circuit television,http://id.worldcat.org/fast/864626,Closed-circuit television
Coastal biodiversity conservation,http://id.worldcat.org/fast/1749562,Coastal biodiversity conservation
Coastal ecosystem health,http://id.worldcat.org/fast/1749295,Coastal ecosystem health
Coastal mapping,http://id.worldcat.org/fast/1741068,Coastal mapping
Coastal plants,http://id.worldcat.org/fast/865752,Coastal plants
Coastal sediments,http://id.worldcat.org/fast/1739437,Coastal sediments
Coastal zone management,http://id.worldcat.org/fast/865756,Coastal zone management
Coast changes,http://id.worldcat.org/fast/865699,Coast changes
coastlines,http://id.worldcat.org/fast/865801,Coasts
Coasts,http://id.worldcat.org/fast/865801,Coasts
Coho salmon,http://id.worldcat.org/fast/866587,Coho salmon
Colluvium,http://id.worldcat.org/fast/868351,Colluvium
Colonial birds,http://id.worldcat.org/fast/868444,Colonial birds
Common Core State Standards (Education,http://id.worldcat.org/fast/1919343,Common Core State Standards (Education
Communities,http://id.worldcat.org/fast/1430092,Communities
Community college trustees,http://id.worldcat.org/fast/870754,Community college trustees
Community development,http://id.worldcat.org/fast/870818,Community development
Community health services,http://id.worldcat.org/fast/870958,Community health services
Commuting,http://id.worldcat.org/fast/871227,Commuting
Concrete,http://id.worldcat.org/fast/874126,Concrete
Congressional Districts,http://id.worldcat.org/fast/904296,Election districts--U.S. states 
Conservation easements,http://id.worldcat.org/fast/875492,Conservation easements
Conservation of natural resources,http://id.worldcat.org/fast/875502,Conservation of natural resources
Construction projects,http://id.worldcat.org/fast/1742119,Construction projects
Consumers,http://id.worldcat.org/fast/876410,Consumers
Contaminated sediments,http://id.worldcat.org/fast/876596,Contaminated sediments
Contiguous zones (Law of the sea),http://id.worldcat.org/fast/876668,Contiguous zones (Law of the sea)
Continental margins,http://id.worldcat.org/fast/876674,Continental margins
Continental shelf,http://id.worldcat.org/fast/876676,Continental shelf
Continents,http://id.worldcat.org/fast/876686,Continents
Contours (Cartography),http://id.worldcat.org/fast/876798,Contours (Cartography)
Coordinates,http://id.worldcat.org/fast/878263,Coordinates
Coral reef ecology,http://id.worldcat.org/fast/878847,Coral reef ecology
Coral reefs and islands,http://id.worldcat.org/fast/878858,Coral reefs and islands
Corals,http://id.worldcat.org/fast/878876,Corals
Correctional institutions,http://id.worldcat.org/fast/880178,Correctional institutions
Corridors (Ecology),http://id.worldcat.org/fast/880337,Corridors (Ecology)
Cost and standard of living,http://id.worldcat.org/fast/880673,Cost and standard of living
Cost effectiveness,http://id.worldcat.org/fast/880707,Cost effectiveness
Counties,http://id.worldcat.org/fast/1202159,Counties
counties,http://id.worldcat.org/fast/1202159,Counties
