layer_id	Themekey thesaurus	placekey value
fgdc436	GNIS	District of Columbia
fgdc436	LCSH	Washington (D.C.)
fgdc437	GNIS	Indiana
fgdc438	GNS (NGA)	China
fgdc439	GNIS	New Mexico
fgdc441	GNIS	Northern Mariana Islands
fgdc442	GNIS	North Carolina
fgdc446	GNIS	Texas
fgdc447	LCSH	Europe
fgdc45	GNIS	South Carolina
fgdc450	GNIS	Massachusetts
fgdc451	GNIS	West Virginia
fgdc452	GNIS	New Hampshire
fgdc453	GNS	China
fgdc454	GNIS	Maine
fgdc455	GNIS	Connecticut
fgdc457	LCSH	Europe
fgdc46	LCSH	Canada
fgdc465	LCSH	United States
fgdc466	LCSH	Europe
fgdc467	GNIS	District of Columbia
fgdc467	LCSH	Washington (D.C.)
fgdc469	GNIS	West Virginia
fgdc47	GNIS	Ohio
fgdc471	GNIS	Puerto Rico
fgdc472	GNIS	Colorado
fgdc473	GNIS	Kansas
fgdc481	GNIS	Wisconsin
fgdc483	GNIS	Nebraska
fgdc485	GNIS	Massachusetts
fgdc486	GNIS	Guam
fgdc488	GNIS	Hawaii
fgdc489	GNIS	South Dakota
fgdc491	GNIS	Mississippi
fgdc492	GNIS	Georgia
fgdc494	GNIS	Nebraska
fgdc496	GNIS	Kansas
fgdc498	GNIS	South Dakota
fgdc499	GNIS	Wyoming
fgdc500	GNIS	Puerto Rico
fgdc503	GNIS	North Carolina
fgdc504	GNIS	Minnesota
fgdc51	GNIS	New York
fgdc51	LCSH	New York (State)
fgdc510	GNIS	Vermont
fgdc511	GNIS	Massachusetts
fgdc512	GNIS	Michigan
fgdc518	GNIS	Utah
fgdc52	LCSH	Europe
fgdc520	GNIS	Indiana
fgdc524	GNIS	Alaska
fgdc527	GNIS	South Carolina
fgdc53	GNIS	North Dakota
fgdc531	GNIS	Puerto Rico
fgdc533	None	Ereen Dabasa
fgdc535	None	"Los Rios, Region de"
fgdc535	LCSH	Temuco
fgdc538	GNIS	Alaska
fgdc539	GNIS	Michigan
fgdc542	GNIS	Michigan
fgdc543	GNIS	Kentucky
fgdc545	GNIS	Northern Mariana Islands
fgdc546	GNIS	Minnesota
fgdc549	GNIS	Puerto Rico
fgdc550	GNIS	New York (State)
fgdc551	GNIS	Alabama
fgdc554	GNIS	Michigan
fgdc555	GNIS	New York
fgdc556	GNIS	New York
fgdc557	GNIS	Nebraska
fgdc559	GNIS	Indiana
fgdc56	GNIS	Virginia
fgdc561	GNIS	Oklahoma
fgdc562	GNIS	Kentucky
fgdc565	GNIS	Iowa
fgdc566	GNIS	Tennessee
fgdc567	GNS	Sudan
fgdc568	GNIS	Utah
fgdc569	GNIS	Oregon
fgdc57	GNIS	Oklahoma
fgdc572	None	Europe
fgdc573	GNIS	Oklahoma
fgdc574	GNIS	Pennsylvania
fgdc576	GNIS	Florida
fgdc577	GNIS	Rhode Island
fgdc581	GNIS	Maine
fgdc583	None	United States
fgdc584	GNIS	Illinois
fgdc585	GNIS	Montana
fgdc587	LCSH	Europe
fgdc590	GNIS	Tennessee
fgdc591	GNIS	Utah
fgdc593	GNIS	Oklahoma
fgdc597	LCSH	New England
fgdc599	GNIS	North Dakota
fgdc6	GNS (NGA)	China
fgdc60	GNIS	Missouri
fgdc600	GNIS	Colorado
fgdc601	GNIS	New Jersey
fgdc603	GNIS	Louisiana
fgdc604	GNIS	Mississippi
fgdc605	LCSH	Mexico
fgdc606	GNIS	Kentucky
fgdc607	GNIS	Kentucky
fgdc608	GNIS	Michigan
fgdc611	GNIS	Virginia
fgdc612	GNIS	New Hampshire
fgdc615	None	Germany
fgdc616	None	Canada
fgdc617	GNS	United States
fgdc618	GNIS	South Dakota
fgdc619	GNIS	Iowa
fgdc620	GNIS	Alabama
fgdc621	GNIS	South Carolina
fgdc626	GNIS	Kentucky
fgdc629	GNIS	Maryland
fgdc63	GNIS	Ohio
fgdc630	GNIS	Rhode Island
fgdc634	GNIS	North Dakota
fgdc635	GNIS	Wisconsin
fgdc636	LCSH	Europe
fgdc637	GNIS	Arkansas
fgdc639	GNIS	West Virginia
fgdc640	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc643	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc644	GNIS	Washington (State)
fgdc647	LCSH	United States
fgdc648	GNIS	Rhode Island
fgdc652	GNIS	Kansas
fgdc654	GNIS	Oregon
fgdc656	GNS	Israel
fgdc657	GNIS	Ohio
fgdc658	None	United States
fgdc66	GNIS	South Carolina
fgdc662	None	Guizhou Province
fgdc663	GNIS	Vermont
fgdc666	GNIS	Massachusetts
fgdc667	GNIS	Minnesota
fgdc668	GNIS	Kansas
fgdc669	LCSH	United States
		Boston
fgdc671	GNIS	New Jersey
fgdc672	GNIS	Colorado
fgdc673	GNIS	Nebraska
fgdc675	LCSH	United States
fgdc676	GNIS	Missouri
fgdc679	GNIS	American Samoa
fgdc68	GNIS	Tennessee
fgdc681	GNIS	Tennessee
fgdc683	GNS	Israel
fgdc685	LCSH	New England
fgdc686	GNS	Baltic Sea
fgdc687	GNS	Kenya
fgdc688	GNIS	California
fgdc69	GNS	Burundi
fgdc693	GNS	Israel
fgdc694	GNIS	Guam
fgdc695	GNIS	Kansas
fgdc696	GNS	Israel
fgdc698	GNIS	American Samoa
fgdc699	GNIS	Guam
fgdc7	GNIS	Minnesota
fgdc70	None	World
fgdc700	GNIS	Nevada
fgdc701	GNIS	District of Columbia
fgdc701	LCSH	Washington (D.C.)
fgdc703	GNIS	Iowa
fgdc706	GNIS	Idaho
fgdc708	GNIS	Montana
fgdc71	GNIS	North Carolina
fgdc710	LCSH	Europe
fgdc713	GNIS	Colorado
fgdc714	GNIS	Arizona
fgdc715	GNIS	Maryland
fgdc716	GNIS	Delaware
fgdc72	GNIS	Northern Mariana Islands
fgdc721	LCSH	Mexico
fgdc723	GNIS	Iowa
fgdc724	GNIS	California
fgdc725	GNIS	Alaska
fgdc728	GNIS	Arkansas
fgdc73	GNIS	South Carolina
fgdc730	GNIS	Indiana
fgdc731	LCSH	Europe
fgdc732	GNIS	Massachusetts
fgdc734	GNIS	Missouri
fgdc735	GNIS	Alaska
fgdc737	GNIS	New York
fgdc739	GNIS	Michigan
fgdc740	GNIS	Missouri
fgdc741	GNIS	New Hampshire
fgdc742	GNIS	Kansas
fgdc747	GNIS	Utah
fgdc748	GNIS	Alaska
fgdc75	GNIS	Virginia
fgdc751	GNIS	New York
fgdc758	GNIS	California
fgdc760	GNS	Israel
fgdc762	GNIS	New Jersey
fgdc763	GNIS	Louisiana
fgdc766	LCSH	Europe
fgdc769	None	Hubei Province
fgdc771	GNIS	Guam
fgdc774	GNIS	Montana
fgdc777	None	Ch'ing-hai Province
fgdc778	GNIS	Oregon
fgdc779	LCSH	Europe
fgdc782	GNS	Israel
fgdc784	GNIS	Oklahoma
fgdc785	GNIS	Wisconsin
fgdc786	GNIS	North Carolina
fgdc788	None	Jiangxi Province
fgdc789	LCSH	United States
fgdc79	GNIS	Minnesota
fgdc791	GNIS	Maine
fgdc792	GNS	Rwanda
fgdc794	GNS	Tanzania
fgdc795	GNIS	Arizona
fgdc797	GNIS	Kentucky
fgdc799	LCSH	Europe
fgdc8	LCSH	United States
fgdc80	GNIS	California
fgdc800	GNIS	Arkansas
fgdc801	GNS	Egypt
fgdc803	GNIS	Georgia
fgdc804	GNIS	Idaho
