layer_id	Themekey thesaurus	placekey value
fgdc1471	GNIS	Utah
fgdc1472	GNIS	Mississippi
fgdc1473	GNIS	Wyoming
fgdc1474	LCSH	Europe
fgdc1477	GNIS	Nevada
fgdc1478	GNIS	Nevada
fgdc1480	None	Jiangsu Province
fgdc1482	GNIS	Pennsylvania
fgdc1483	GNIS	Texas
fgdc1484	GNIS	New Hampshire
fgdc1485	GNIS	Alaska
fgdc1486	LCSH	Europe
fgdc1487	GNIS	Michigan
fgdc1494	GNIS	North Carolina
fgdc1496	LCSH	"Chester Castle (Chester, England)"
fgdc1498	GNIS	New York
fgdc1498	LCSH	New York (State)
fgdc1500	GNIS	New Mexico
fgdc1501	GNIS	Massachusetts
fgdc1508	GNIS	Massachusetts
fgdc1509	GNIS	Rhode Island
fgdc1510	GNIS	New Hampshire
fgdc1512	GNIS	Pennsylvania
fgdc1513	GNIS	Massachusetts
fgdc1514	None	World
fgdc1516	GNIS	Alaska
fgdc1518	GNIS	Alabama
fgdc1520	GNIS	Mississippi
fgdc1524	GNIS	Georgia
fgdc1525	None	United States
fgdc1526	GNIS	North Carolina
fgdc1527	GNIS	Minnesota
fgdc1528	LCSH	Canada
fgdc1529	GNIS	Virginia
fgdc1530	GNIS	Maine
fgdc1531	GNIS	China
fgdc1532	GNIS	Massachusetts
fgdc1536	GNIS	New Hampshire
fgdc1537	GNIS	Tennessee
fgdc1539	GNIS	Georgia
fgdc1541	GNIS	Oregon
fgdc1542	GNIS	Michigan
fgdc1543	GNIS	Colorado
fgdc1549	GNIS	South Carolina
fgdc1550	GNIS	Texas
fgdc1552	GNIS	Maine
fgdc1553	GNIS	Washington (State)
fgdc1554	GNIS	Arkansas
fgdc1555	GNIS	Colorado
fgdc1556	GNIS	Alabama
fgdc1557	GNS	Israel
fgdc1558	GNIS	Louisiana
fgdc1559	GNIS	New York
fgdc1560	GNS	Japan
fgdc1561	GNIS	Washington
fgdc1563	GNIS	Arizona
fgdc1565	GNIS	Ohio
fgdc1566	GNIS	Iowa
fgdc1568	GNIS	Nebraska
fgdc1570	GNIS	Connecticut
fgdc1571	GNIS	New Jersey
fgdc1572	GNIS	Wisconsin
fgdc1573	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1574	GNIS	Massachusetts
fgdc1576	GNS (NGA)	China
fgdc1577	GNIS	Georgia
fgdc1578	GNS	Gibraltar
fgdc1581	LCSH	Europe
fgdc1583	GNIS	Georgia
fgdc1584	None	Europe
fgdc1585	GNIS	Maine
fgdc1586	GNS (NGA)	China
fgdc1587	GNIS	New Hampshire
fgdc1588	GNIS	Indiana
fgdc1591	GNIS	North Carolina
fgdc1592	GNIS	Tennessee
fgdc1593	GNIS	New Hampshire
fgdc1594	GNIS	Wisconsin
fgdc1595	GNIS	North Carolina
fgdc1599	GNIS	Arkansas
fgdc1601	None	World
fgdc1602	GNIS	Massachusetts
fgdc1603	GNS	Switzerland
fgdc1604	GNIS	Montana
fgdc1606	GNIS	California
fgdc1608	GNIS	Ohio
fgdc1609	GNIS	South Dakota
fgdc1611	GNIS	Kansas
fgdc1612	GNS	Kenya
fgdc1615	GNIS	Michigan
fgdc1616	GNIS	New Jersey
fgdc1617	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1618	GNIS	Montana
fgdc1619	GNIS	Delaware
fgdc1620	GNIS	Idaho
fgdc1621	GNIS	Virginia
fgdc1623	GNIS	Maryland
fgdc1624	GNIS	Montana
fgdc1625	GNIS	Missouri
fgdc1626	GNIS	Vermont
fgdc1631	GNIS	Connecticut
fgdc1632	LCSH	Africa
fgdc1633	GNIS	Texas
fgdc1634	GNIS	Washington (State)
fgdc1635	GNIS	Utah
fgdc1637	GNIS	New Mexico
fgdc1638	GNIS	North Dakota
fgdc1639	GNIS	Mississippi
fgdc1643	GNIS	Arizona
fgdc1645	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1646	LCSH	Mexico
fgdc1647	GNIS	Maryland
fgdc1648	LCSH	Africa
fgdc1650	GNIS	Rhode Island
fgdc1651	GNIS	Arkansas
fgdc1652	GNIS	Idaho
fgdc1653	GNIS	California
fgdc1654	GNIS	Indiana
fgdc1655	GNIS	West Virginia
fgdc1657	None	Puerh
fgdc1659	GNIS	New Jersey
fgdc1660	GNIS	Florida
fgdc1661	GNIS	North Dakota
fgdc1664	GNIS	Alabama
fgdc1665	GNIS	Michigan
fgdc1670	GNIS	Pennsylvania
fgdc1674	GNIS	Tennessee
fgdc1676	GNIS	New York (State)
fgdc1677	GNIS	Arizona
fgdc1679	GNIS	Indiana
fgdc1680	GNIS	Delaware
fgdc1681	GNS	Afghanistan
fgdc1682	GNIS	West Virginia
fgdc1683	GNIS	North Dakota
fgdc1684	GNIS	West Virginia
fgdc1685	GNIS	New Jersey
fgdc1686	GNIS	Connecticut
fgdc1687	GNIS	Florida
fgdc1688	LCSH	Europe
fgdc1689	GNIS	Arkansas
fgdc1690	GNIS	Michigan
fgdc1691	GNIS	Michigan
fgdc1692	GNIS	Texas
fgdc1698	GNIS	Oklahoma
fgdc1699	GNIS	Arizona
fgdc1701	GNS (NGA)	China
fgdc1702	GNIS	Oregon
fgdc1703	GNIS	Illinois
fgdc1705	GNS	Kenya
fgdc1707	GNIS	West Virginia
fgdc1709	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1710	LCSH	Europe
fgdc1711	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1713	GNIS	Maryland
fgdc1714	GNIS	Nevada
fgdc1716	GNIS	New Mexico
fgdc1718	GNIS	Virginia
fgdc1719	GNIS	California
fgdc1720	GNIS	Maine
fgdc1724	LCSH	Europe
fgdc1725	GNIS	Michigan
fgdc1729	GNIS	Idaho
fgdc1730	GNIS	Texas
fgdc1732	GNIS	China
fgdc1734	GNS	China
fgdc1736	GNIS	Idaho
fgdc1737	GNS	Rwanda
fgdc1742	GNIS	Hawaii
fgdc1743	LCSH	United States
fgdc1745	LCSH	Europe
fgdc1747	GNIS	American Samoa
fgdc1748	GNIS	Kentucky
fgdc1749	GNIS	Virginia
fgdc1752	GNIS	Mississippi
fgdc1753	GNIS	Vermont
fgdc1754	GNIS	Utah
fgdc1755	LCSH	South America
fgdc1756	GNIS	Alabama
fgdc1757	GNIS	Maine
fgdc1760	GNIS	North Carolina
fgdc1763	GNIS	Ohio
fgdc1764	LCSH	United States
fgdc1766	GNIS	Wyoming
fgdc1767	GNIS	North Dakota
fgdc1770	GNIS	New Hampshire
fgdc1773	GNS (NGA)	China
fgdc1774	GNS	Somalia
fgdc1776	GNIS	Louisiana
fgdc1777	None	Fujian Province
fgdc1778	GNIS	Kentucky
fgdc1779	GNIS	Florida
fgdc1785	GNIS	Wyoming
fgdc1786	GNIS	Tennessee
fgdc1787	GNIS	New York
fgdc1791	GNS	United States
fgdc1792	GNS (NGA)	China
fgdc1794	GNIS	West Virginia
fgdc1795	GNIS	Washington
fgdc1796	GNIS	Hawaii
fgdc1797	GNIS	Rhode Island
fgdc1798	GNIS	Ohio
fgdc1799	GNIS	Montana
fgdc1800	LCSH	Mexico
fgdc1801	GNIS	Maryland
fgdc1802	GNIS	Hawaii
fgdc1805	GNS (NGA)	China
fgdc1806	GNIS	Massachusetts
fgdc1807	GNIS	Pennsylvania
fgdc1809	GNIS	Iowa
fgdc1810	GNIS	Oklahoma
fgdc1812	GNIS	Delaware
fgdc1813	LCSH	Africa
fgdc1815	LCSH	Europe
fgdc1816	GNIS	Alabama
fgdc1817	GNIS	Utah
fgdc1818	GNIS	Alaska
fgdc1823	GNIS	California
fgdc1824	LCSH	Europe
fgdc1826	GNIS	Virginia
fgdc1827	GNIS	Virginia
fgdc1828	GNIS	New Hampshire
fgdc1833	GNIS	Montana
fgdc1834	GNIS	Vermont
fgdc1836	GNIS	Minnesota
fgdc1838	GNIS	Vermont
fgdc1841	GNIS	Idaho
fgdc1842	LCSH	Canada
fgdc1843	GNIS	Washington (State)
fgdc1844	LCSH	North America
fgdc1845	GNIS	Maine
fgdc1847	GNIS	Minnesota
fgdc1848	GNIS	Massachusetts
fgdc1849	GNIS	Texas
fgdc1850	GNIS	Arizona
fgdc1852	GNIS	Arkansas
fgdc1856	GNIS	Illinois
fgdc1857	GNIS	Wisconsin
fgdc1861	GNIS	Massachusetts
fgdc1862	GNIS	Arizona
fgdc1865	GNIS	Guam
fgdc1868	GNIS	Michigan
fgdc1869	GNIS	South Dakota
fgdc1870	GNIS	Alabama
fgdc1871	GNIS	Delaware
fgdc1872	GNS (NIMA)	India
fgdc1873	GNIS	Colorado
fgdc1874	GNIS	Alabama
fgdc1875	GNIS	Georgia
fgdc1877	LCSH	Europe
fgdc1880	GNIS	South Carolina
fgdc1882	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1883	GNIS	Kansas
fgdc1885	GNIS	Texas
fgdc1886	GNIS	Iowa
fgdc1887	LCSH	Mexico
fgdc1888	GNIS	Louisiana
fgdc1889	LCSH	United States
fgdc1890	GNIS	Alabama
fgdc1892	GNIS	Utah
fgdc1893	LCSH	Europe
fgdc1895	GNIS	Louisiana
fgdc1896	GNIS	Rhode Island
fgdc1899	GNIS	North Dakota
fgdc1900	GNIS	New Jersey
fgdc1901	GNIS	Oklahoma
fgdc1902	GNIS	South Dakota
fgdc1903	GNIS	South Dakota
fgdc1904	GNIS	Nebraska
fgdc1906	GNIS	Georgia
fgdc1909	GNIS	North Dakota
fgdc1910	GNS	Egypt
fgdc1911	GNIS	Hawaii
fgdc1914	GNIS	Georgia
fgdc1915	GNIS	Wyoming
fgdc1916	GNIS	Delaware
fgdc1919	GNIS	Hawaii
fgdc1920	GNIS	Maryland
fgdc1921	GNIS	Washington (State)
fgdc1922	None	United States
fgdc1924	GNIS	Wisconsin
fgdc1925	GNS	Algeria
fgdc1927	GNS	Israel
fgdc1928	GNIS	Ohio
fgdc1929	GNIS	North Dakota
fgdc1930	GNIS	West Virginia
fgdc1931	GNIS	New Mexico
fgdc1932	GNIS	Nevada
fgdc1933	GNIS	Missouri
fgdc1934	GNIS	Minnesota
fgdc1936	GNIS	Indiana
fgdc1937	GNIS	Rhode Island
fgdc1942	GNIS	North Carolina
fgdc1943	GNIS	Wyoming
fgdc1946	GNIS	California
fgdc1947	GNIS	Oklahoma
fgdc1948	GNIS	Montana
fgdc1950	GNIS	Mississippi
fgdc1952	GNIS	Louisiana
fgdc1954	GNIS	Washington (State)
fgdc1957	GNIS	South Dakota
fgdc1959	GNS	Tanzania
fgdc1963	LCSH	United States
fgdc1965	GNIS	Florida
fgdc1966	GNIS	Texas
fgdc1967	GNS	Israel
fgdc1968	GNIS	Oklahoma
fgdc1970	GNIS	Massachusetts
fgdc1971	GNIS	Tennessee
fgdc1972	GNIS	New York
fgdc1974	GNIS	Arizona
fgdc1975	None	Sunchow
fgdc1978	GNS	Burkina Faso
fgdc1979	LCSH	Africa
fgdc1980	GNIS	Illinois
fgdc1981	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Yinxian
fgdc1982	GNIS	Maine
fgdc1984	GNIS	Georgia
fgdc1988	GNIS	Utah
fgdc1990	None	Guizhou Province
fgdc1991	GNIS	Pennsylvania
fgdc1992	GNIS	Maine
fgdc1995	GNIS	Utah
fgdc1997	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Hui-min
fgdc1998	GNIS	Ohio
fgdc2001	GNIS	Florida
fgdc2003	GNIS	Wisconsin
fgdc2006	GNS	Malta
fgdc2008	GNIS	Texas
fgdc2009	GNIS	Ohio
fgdc2011	GNIS	New Mexico
fgdc2012	GNIS	Connecticut
fgdc2014	GNIS	China
fgdc2015	GNIS	New Mexico
fgdc2016	GNIS	Missouri
fgdc2017	LCSH	Europe
fgdc2019	GNIS	Louisiana
fgdc2021	GNIS	South Dakota
fgdc2027	GNIS	Alaska
fgdc2028	GNIS	Maine
fgdc2029	GNIS	Kentucky
fgdc2030	GNIS	North Carolina
fgdc2031	GNIS	Vermont
fgdc2032	GNIS	Illinois
fgdc2033	GNIS	Guam
fgdc2035	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2038	GNIS	Virginia
fgdc2039	GNIS	Arkansas
fgdc2040	GNIS	Pennsylvania
fgdc2043	GNIS	Guam
fgdc2044	None	Shandong Province
fgdc2049	GNIS	Northern Mariana Islands
fgdc2050	GNIS	Connecticut
fgdc2051	LCSH	Europe
fgdc2053	LCSH	United States
fgdc2054	GNIS	Indiana
fgdc2055	GNIS	New Mexico
fgdc2056	GNIS	North Dakota
fgdc2057	GNIS	Texas
fgdc2059	LCSH	United States
fgdc2061	GNIS	Iowa
fgdc2064	GNIS	Puerto Rico
fgdc2067	GNIS	Delaware
fgdc2068	GNIS	Maine
fgdc2070	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2072	GNIS	Pennsylvania
fgdc2073	GNIS	Iowa
fgdc2075	GNIS	Montana
fgdc2077	GNIS	Kentucky
fgdc2080	GNIS	Connecticut
fgdc2081	LCSH	United States
fgdc2083	LCSH	Canada
fgdc2084	LCSH	New England
fgdc2085	GNIS	Georgia
fgdc2086	GNIS	Kentucky
fgdc2088	None	World
fgdc2089	LCSH	Europe
fgdc2093	GNIS	Delaware
fgdc2095	GNIS	Kansas
fgdc2098	GNS	Sudan
fgdc2099	GNIS	Delaware
fgdc2100	GNIS	Idaho
fgdc2101	GNIS	Maryland
fgdc2102	GNIS	Northern Mariana Islands
fgdc2103	GNS (NGA)	China
fgdc2104	LCSH	Europe
fgdc2106	GNIS	Hawaii
fgdc2107	GNS	Morocco
fgdc2108	GNIS	Arkansas
fgdc2110	GNIS	Arizona
fgdc2114	GNIS	Missouri
fgdc2117	GNIS	Kansas
fgdc2119	GNS	Cuba
fgdc2122	GNIS	Nebraska
fgdc2123	GNIS	Virginia
fgdc2124	GNIS	West Virginia
fgdc2125	GNIS	South Carolina
fgdc2126	GNIS	New York
fgdc2128	GNIS	Oregon
fgdc2129	GNIS	California
fgdc2130	GNIS	Maryland
fgdc2131	GNIS	Montana
fgdc2132	GNS	Israel
fgdc2133	LCSH	United States
fgdc2136	GNIS	Massachusetts
fgdc2137	GNIS	New Hampshire
fgdc2138	GNIS	Alabama
fgdc2140	GNIS	Wisconsin
fgdc2143	GNIS	New Jersey
fgdc2146	GNIS	American Samoa
fgdc2148	GNIS	North Carolina
fgdc2149	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Hsi-nao-pao
fgdc2150	GNIS	Northern Mariana Islands
fgdc2152	GNIS	North Carolina
fgdc2153	GNIS	Washington
fgdc2157	GNIS	Delaware
fgdc2158	GNIS	Louisiana
fgdc2159	GNIS	Colorado
fgdc2160	GNIS	North Carolina
fgdc2161	GNIS	Arizona
fgdc2163	GNIS	Mississippi
fgdc2165	GNIS	South Dakota
fgdc2171	GNIS	North Carolina
fgdc2175	GNIS	Oregon
fgdc2176	GNIS	North Dakota
fgdc2177	GNIS	Oklahoma
fgdc2178	None	Henan Province
fgdc2180	GNIS	New Jersey
fgdc2181	LCSH	Africa
fgdc2183	GNIS	Wyoming
fgdc2185	GNIS	Northern Mariana Islands
fgdc2186	GNIS	Wyoming
fgdc2187	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2188	GNIS	Virginia
fgdc2190	GNIS	Nevada
fgdc2192	LCSH	Europe
fgdc2193	GNIS	Rhode Island
fgdc2195	GNS	Burundi
fgdc2196	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2197	LCSH	South America
fgdc2198	LCSH	Europe
fgdc2199	GNIS	Hawaii
fgdc2201	GNIS	Kentucky
fgdc2204	GNIS	Hawaii
fgdc2205	GNIS	New York (State)
fgdc2206	GNIS	Tennessee
fgdc2207	GNIS	Alabama
fgdc2208	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2209	GNIS	North Carolina
fgdc2210	GNIS	Texas
fgdc2212	GNIS	South Carolina
fgdc2215	GNIS	Oregon
fgdc2216	GNIS	Ohio
fgdc2217	LCSH	Europe
fgdc2220	GNIS	Vermont
fgdc2221	GNIS	North Carolina
fgdc2222	GNIS	Virginia
fgdc2223	GNIS	South Carolina
fgdc2226	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2227	LCSH	Mexico
fgdc2231	None	Mexico
fgdc2232	GNS	Uganda
fgdc2235	GNIS	Colorado
fgdc2236	GNIS	Kansas
fgdc2237	GNIS	North Carolina
fgdc2239	LCSH	Europe
fgdc2240	GNIS	South Carolina
fgdc2241	LCSH	"Africa, Central"
fgdc2243	LCSH	Europe
fgdc2245	GNIS	Utah
fgdc2247	GNIS	New Mexico
fgdc2248	GNIS	Kansas
fgdc2249	LCSH	Europe
fgdc2251	GNIS	Virginia
fgdc2253	None	Sichuan Province
fgdc2254	GNIS	Illinois
fgdc2257	GNS	North Sea
fgdc2260	GNIS	Louisiana
fgdc2261	GNS	Israel
fgdc2262	GNIS	Georgia
fgdc2263	GNIS	New Jersey
fgdc2265	GNIS	North Carolina
fgdc2267	GNIS	North Dakota
fgdc2271	GNIS	Pennsylvania
fgdc2273	GNIS	Iowa
fgdc2276	GNS (NGA)	China
fgdc2279	GNIS	Alabama
fgdc2283	GNIS	Massachusetts
fgdc2284	GNIS	Tennessee
fgdc2287	GNIS	Texas
fgdc2288	None	Guizhou Province
fgdc2289	GNIS	Mississippi
fgdc2290	None	United States
fgdc2291	GNIS	Idaho
fgdc2292	GNS	Israel
fgdc2294	GNIS	Connecticut
fgdc2296	GNIS	Maryland
fgdc2298	GNIS	New Jersey
fgdc2299	GNIS	Massachusetts
fgdc2300	GNIS	Colorado
fgdc2303	None	Sichuan Province
fgdc2304	GNIS	West Virginia
fgdc2306	LSCH	Mexico
fgdc2309	GNIS	New Hampshire
fgdc2311	GNIS	California
fgdc2314	GNIS	North Dakota
fgdc2315	GNIS	Pennsylvania
fgdc2316	GNIS	Michigan
fgdc2323	GNIS	South Carolina
fgdc2324	GNIS	Wisconsin
fgdc2329	None	Shandong Province
fgdc2330	GNIS	Rhode Island
fgdc2331	GNIS	Louisiana
fgdc2334	GNIS	Nebraska
fgdc2335	GNIS	Tennessee
fgdc2336	GNIS	South Dakota
fgdc2338	GNIS	Illinois
fgdc2339	GNIS	Kansas
fgdc2341	GNIS	Michigan
fgdc2342	LCSH	Europe
fgdc2345	GNIS	Kansas
fgdc2347	GNIS	Georgia
fgdc2348	GNS	Israel
fgdc2349	GNIS	New York
fgdc2350	GNIS	New Jersey
fgdc2351	GNIS	Florida
fgdc2353	GNIS	Alabama
fgdc2354	GNIS	Utah
fgdc2356	GNS	China
fgdc2357	GNIS	Alabama
fgdc2359	GNIS	Kentucky
fgdc2360	GNIS	Florida
fgdc2362	LCSH	United States
fgdc2365	GNIS	Indiana
fgdc2368	GNIS	Tennessee
fgdc2372	GNS	South Africa
fgdc2378	GNS	Germany
fgdc2380	GNIS	Oklahoma
fgdc2381	GNIS	China
fgdc2383	GNS	Switzerland
fgdc2384	GNIS	Indiana
fgdc2385	GNIS	Florida
fgdc2386	LCSH	Mexico
fgdc2388	None	Hebei Province
fgdc2390	GNIS	Guam
fgdc2393	GNIS	Nevada
fgdc2394	GNIS	Mississippi
fgdc2396	LCSH	Europe
fgdc2397	GNIS	Kansas
fgdc2398	GNIS	Texas
fgdc2399	GNIS	Wyoming
fgdc2402	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Nan-p'ing
fgdc2402	None	Fujian Province
fgdc2405	GNIS	North Carolina
fgdc2408	None	United States
fgdc2409	GNIS	Indiana
fgdc2413	LCSH	United States
fgdc2417	GNIS	Oregon
fgdc2419	LCSH	Europe
fgdc2420	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2421	GNIS	Rhode Island
fgdc2422	GNIS	Louisiana
fgdc2423	LCSH	Europe
fgdc2424	GNS	Israel
fgdc2426	GNIS	Puerto Rico
fgdc2427	GNIS	Oklahoma
fgdc2428	GNIS	California
fgdc2432	GNIS	Iowa
fgdc2433	GNIS	Massachusetts
fgdc2434	GNIS	Alabama
fgdc2435	GNS	Israel
fgdc2436	GNIS	New York
fgdc2438	GNIS	Oregon
fgdc2439	GNIS	Ohio
		Boston
fgdc2442	GNIS	Missouri
fgdc2444	LCSH	Africa
fgdc2447	GNIS	Wyoming
fgdc2448	GNIS	Alabama
fgdc2449	GNIS	Iowa
fgdc2451	GNIS	New York (State)
fgdc2452	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2453	LCSH	Europe
fgdc2454	GNIS	New Hampshire
fgdc2460	GNIS	Indiana
fgdc2461	GNIS	Maryland
fgdc2465	GNIS	South Carolina
fgdc2467	GNIS	Arkansas
fgdc2468	GNIS	Maine
fgdc2471	GNIS	Kentucky
fgdc2473	GNIS	New Hampshire
fgdc2474	GNIS	Maryland
fgdc2476	GNIS	Massachusetts
fgdc2477	LCSH	United States
fgdc2480	GNIS	Nevada
fgdc2481	GNIS	Michigan
fgdc2482	GNIS	Maryland
fgdc2483	GNIS	Washington (State)
fgdc2484	GNIS	Arizona
fgdc2485	GNIS	Minnesota
fgdc2487	GNIS	Nevada
fgdc2488	None	United States
fgdc2490	GNIS	Mississippi
fgdc2494	GNS	Atlantic Ocean
fgdc2495	GNIS	Arizona
fgdc2498	GNIS	Oklahoma
fgdc2500	GNIS	Colorado
fgdc2501	GNIS	Guam
fgdc2503	LCSH	"Europe, Central"
fgdc2504	GNS	Israel
fgdc2505	LCSH	Europe
fgdc2506	GNIS	District of Columbia
fgdc2506	LCSH	Washington (D.C.)
fgdc2507	GNIS	Iowa
fgdc2514	GNIS	Wyoming
fgdc2515	GNIS	Ohio
fgdc2519	GNIS	Oregon
fgdc2521	GNIS	New Mexico
fgdc2522	GNIS	Hawaii
fgdc2523	GNIS	Minnesota
fgdc2524	GNIS	Arizona
fgdc2525	GNIS	New Hampshire
fgdc2529	GNIS	New Hampshire
fgdc2531	None	World
fgdc2533	GNIS	Rhode Island
fgdc2534	GNIS	Maryland
fgdc2536	GNIS	Mississippi
fgdc2537	GNIS	Nevada
fgdc2538	GNIS	Vermont
fgdc2542	GNIS	Mississippi
fgdc2543	GNIS	Louisiana
fgdc2546	GNIS	Pennsylvania
fgdc2548	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2549	GNIS	Wyoming
fgdc2550	GNIS	Georgia
fgdc2551	GNIS	Nevada
fgdc2555	GNS	China
fgdc2557	GNIS	Ohio
fgdc2561	GNIS	Oregon
fgdc2562	GNS	United States
fgdc2564	GNIS	Maine
fgdc2569	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2570	GNIS	Connecticut
fgdc2571	GNIS	West Virginia
fgdc2573	GNIS	Florida
fgdc2574	GNIS	Arkansas
fgdc2575	GNIS	Tennessee
fgdc2577	GNS	Switzerland
fgdc2578	GNIS	Maryland
fgdc2579	GNS	Kenya
fgdc2580	GNIS	Vermont
fgdc2585	GNS	Sierra Leone
fgdc2587	None	"Los Rios, Region de"
fgdc2588	GNIS	Utah
fgdc2589	GNIS	Hawaii
fgdc2590	GNS	Rwanda
fgdc2591	GNIS	West Virginia
fgdc2592	GNIS	Kansas
fgdc2593	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2595	GNIS	Maryland
fgdc2596	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979"	Ch'eng-mai
fgdc2597	GNIS	Illinois
fgdc2598	GNIS	Puerto Rico
fgdc2600	GNIS	Texas
fgdc2602	LCSH	University of Cambridge
fgdc2607	GNIS	Maine
fgdc2608	GNS	Uganda
fgdc2611	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2612	GNIS	North Dakota
fgdc2614	GNS	Congo
fgdc2617	GNIS	New Mexico
fgdc2618	GNIS	Maryland
fgdc2619	GNIS	North Dakota
fgdc2622	GNIS	Arizona
fgdc2624	GNIS	Wyoming
fgdc2626	GNIS	Florida
fgdc2630	GNIS	Michigan
fgdc2631	GNIS	Tennessee
fgdc2636	GNS	Mexico
fgdc2638	LCSH	Europe
fgdc2640	GNIS	North Carolina
fgdc2641	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Shen-mu
fgdc2645	GNIS	Kansas
fgdc2646	GNS	Somalia
fgdc2647	GNIS	California
fgdc2648	GNIS	Mississippi
fgdc2650	GNIS	North Carolina
fgdc2653	GNS	Germany
fgdc2654	GNIS	Oregon
fgdc2655	GNIS	California
fgdc2660	GNIS	Utah
fgdc2662	GNIS	Alabama
fgdc2663	GNIS	Kentucky
fgdc2664	GNIS	Alaska
fgdc2665	GNIS	Maine
fgdc2671	GNIS	Idaho
fgdc2674	GNIS	Alaska
fgdc2678	GNIS	South Dakota
fgdc2679	LCSH	Africa
fgdc2682	GNS	Japan
fgdc2683	GNIS	Hawaii
fgdc2686	GNIS	Michigan
fgdc2688	GNIS	Texas
fgdc2689	GNIS	New York
fgdc2690	GNIS	Montana
fgdc2691	GNIS	Wyoming
fgdc2694	GNIS	Vermont
fgdc2695	GNS	Israel
fgdc2699	None	Mexico
fgdc2701	GNS	Kiribati
fgdc2703	GNS	Algeria
fgdc2704	GNIS	North Carolina
fgdc2707	GNIS	West Virginia
fgdc2708	GNIS	Alaska
fgdc2710	GNIS	Georgia
fgdc2713	GNIS	Massachusetts
fgdc2718	GNIS	Nevada
fgdc2720	GNIS	Hawaii
fgdc2722	GNIS	Kansas
fgdc2723	GNIS	Maryland
fgdc2724	GNIS	Nebraska
fgdc2728	None	Zhejiang Province
fgdc2729	GNIS	Oklahoma
fgdc2730	GNIS	Alaska
fgdc2732	GNS	Israel
fgdc2735	GNIS	American Samoa
fgdc2736	GNIS	Florida
fgdc2737	GNS	Burundi
fgdc2738	GNIS	Puerto Rico
fgdc2742	LCSH	North America
fgdc2743	GNIS	Maryland
fgdc2745	GNIS	Massachusetts
fgdc2749	GNIS	Tennessee
fgdc2750	GNIS	Louisiana
fgdc2752	GNIS	Massachusetts
fgdc2754	GNIS	Washington (State)
fgdc2759	GNIS	Louisiana
fgdc2761	GNIS	Massachusetts
fgdc2762	GNIS	West Virginia
fgdc2764	GNIS	Montana
fgdc2765	GNIS	Pennsylvania
fgdc2766	GNS	Sudan
fgdc2768	GNIS	Colorado
fgdc2769	GNIS	Louisiana
fgdc2770	GNIS	Georgia
fgdc2771	LCSH	Europe
fgdc2772	None	United States
fgdc2773	GNIS	Virginia
fgdc2778	GNIS	New Jersey
fgdc2780	LCSH	"Africa, Central"
fgdc2782	GNIS	Utah
fgdc2784	GNIS	Alabama
fgdc2785	GNIS	Texas
fgdc2788	GNIS	Kansas
fgdc2791	GNIS	Colorado
fgdc2792	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Hai-k'ang
fgdc2792	None	Guangdong Province
fgdc2793	GNIS	Georgia
fgdc2794	GNIS	Montana
fgdc2795	GNIS	Michigan
fgdc2796	GNIS	Pennsylvania
fgdc2797	GNIS	Pennsylvania
fgdc2798	GNS	China
fgdc2801	GNIS	Delaware
fgdc2802	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc2804	GNIS	Wisconsin
fgdc2805	GNIS	South Dakota
fgdc2806	GNIS	Nevada
fgdc2809	GNS (NIMA)	India
fgdc2815	GNIS	Utah
fgdc2818	GNIS	California
fgdc2819	GNIS	Pennsylvania
fgdc2820	GNIS	Maryland
fgdc2821	GNIS	Oklahoma
fgdc2823	LCSH	Europe
