fgdc156	GNIS	 "Alabama | Arkansas | Kentucky | Louisiana | Mississippi | Missouri | Oklahoma | Tennessee | Texas"
fgdc157	GNS	 "Guatemala | Suchitepequez, Departamento de | Mazatenango"
fgdc158	GNIS	 "Rhode Island"
fgdc159	GNIS	 "Illinois"
fgdc16	GNS (NIMA)	 "Germany | Nuremberg"
fgdc160	LCSH	 "Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America | Polar regions"
fgdc161	GNIS	 "Washington | Seattle | Tukwila"
fgdc162	LCSH	 "United States | Puerto Rico"
fgdc163	GNS	 "Mali | Nampala"
fgdc163	GNS	 "Mauritania"
fgdc164	GNIS	 "Massachusetts | Boston | Jamaica Plain"
fgdc165	GNIS	 "New Jersey"
fgdc166	GNIS	 "Washington (State)"
fgdc167	GNIS	 "Massachusetts"
fgdc168	GNIS	 "South Dakota"
fgdc169	GNS (NIMA)	 "China | Lung-ch'uan | Longchuan | Laolong | Jiangxi Sheng | Guangdong Sheng"
fgdc169	None	 "Lungchun | Jiangxi Province | Guangdong Province"
fgdc17	GNS	 "Chile | Biobio, Region del | Maule, Region del | Concepcion"
fgdc170	GNS	 "France | Strasbourg"
fgdc171	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Polar regions | Antarctica | Arctic regions | Africa | Asia | Australia | Europe | North America | South America"
fgdc172	LCSH	 "Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America | Polar regions"
fgdc173	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	 "Massachusetts"
fgdc174	LCSH	 "Europe"
fgdc175	GNS	 "Tanzania | Dar es Salaam"
fgdc176	GNIS	 "Mississippi"
fgdc177	LCSH	 "United States"
fgdc178	GNIS	 "Ohio"
fgdc179	GNIS	 "North Carolina"
fgdc18	GNS	 "Caribbean Sea"
fgdc18	LCSH	 "West Indies | Central America"
fgdc180	GNIS	 "Rhode Island | Narragansett Bay | Bristol | Newport"
fgdc181	GNIS	 "Maine"
fgdc182	GNIS	 "Tennessee"
fgdc183	GNIS	 "Massachusetts | Cambridge"
fgdc184	GNS (NIMA)	 "United Kingdom | Edinburgh"
