Matching text,URI,Label text
"Cramer, Wolfgang P.",http://id.loc.gov/rwo/agents/n93049788,"Cramer, Wolfgang P."
"Boutelle, C. O. (Charles Otis)",http://id.loc.gov/rwo/agents/n96027996,"Boutelle, C. O. (Charles Otis)"
"Beeman, William R.",http://id.loc.gov/rwo/agents/n96029661,"Beeman, William R."
"Obuch, Raymond C.",http://id.loc.gov/rwo/agents/n96029664,"Obuch, Raymond C."
"Brewton, James D.",http://id.loc.gov/rwo/agents/n96029666,"Brewton, James D."
"Mahon, G. W. (George William)",http://id.loc.gov/rwo/agents/nb2006003954,"Mahon, G. W. (George William)"
"Jansen, Louisa J. M.",http://id.loc.gov/rwo/agents/no2001068072,"Jansen, Louisa J. M."
"Blossom, Jeffrey C.",http://id.loc.gov/rwo/agents/no2002033829,"Blossom, Jeffrey C."
"Lovell, W. H. (William H.)",http://id.loc.gov/rwo/agents/no2002074652,"Lovell, W. H. (William H.)"
"Senefelder, Clem.",http://id.loc.gov/rwo/agents/no2003103954,"Senefelder, Clem."
"Yobwa, Joseph Ipalaka",http://id.loc.gov/rwo/agents/no2004043507,"Yobwa, Joseph Ipalaka"
"Vance, D. H. (David H.)",http://id.loc.gov/rwo/agents/no2005100130,"Vance, D. H. (David H.)"
"Goldthwait, J. H.",http://id.loc.gov/rwo/agents/no2005102381,"Goldthwait, J. H."
"Wightman, H. M.",http://id.loc.gov/rwo/agents/no2005114112,"Wightman, H. M."
"Benner, F. W.",http://id.loc.gov/rwo/agents/no2006028819,"Benner, F. W."
"Ricketts, James J.",http://id.loc.gov/rwo/agents/no2006028832,"Ricketts, James J."
"Maedel, E. A.",http://id.loc.gov/rwo/agents/no2006028883,"Maedel, E. A."
"Metzeroth, G. B.",http://id.loc.gov/rwo/agents/no2006039339,"Metzeroth, G. B."
"Moser, Jefferson F.",http://id.loc.gov/rwo/agents/no2006039358,"Moser, Jefferson F."
"Boggs, Benj. R. (Benjamin Randolph)",http://id.loc.gov/rwo/agents/no2006063659,"Boggs, Benj. R. (Benjamin Randolph)"
"Bornemann, F. W.",http://id.loc.gov/rwo/agents/no2006076866,"Bornemann, F. W."
"Molkow, E.",http://id.loc.gov/rwo/agents/no2007032849,"Molkow, E."
"Kunkler, John E.",http://id.loc.gov/rwo/agents/no2007032882,"Kunkler, John E."
"Cuyler, R. M. (Richard M.)",http://id.loc.gov/rwo/agents/no2007032933,"Cuyler, R. M. (Richard M.)"
"Hawkins, Geo. T. (George T.)",http://id.loc.gov/rwo/agents/no2007066703,"Hawkins, Geo. T. (George T.)"
"Lincoln, P. S.",http://id.loc.gov/rwo/agents/no2007079203,"Lincoln, P. S."
"Tielkemeijer, G. W.",http://id.loc.gov/rwo/agents/no2007095191,"Tielkemeijer, G. W."
"Bonhammer, I.",http://id.loc.gov/rwo/agents/no2007117530,"Bonhammer, I."
"Dumas-Vorzet, Ed. (Eduard)",http://id.loc.gov/rwo/agents/no2007117668,"Dumas-Vorzet, Ed. (Eduard)"
"Pluth, C.",http://id.loc.gov/rwo/agents/no2008031217,"Pluth, C."
"Milcent, F. D. (Fran. D.)",http://id.loc.gov/rwo/agents/no2008031398,"Milcent, F. D. (Fran. D.)"
"Henshall, W.",http://id.loc.gov/rwo/agents/no2008039256,"Henshall, W."
"Beeler, E. M. (Edwin M.)",http://id.loc.gov/rwo/agents/no2008039389,"Beeler, E. M. (Edwin M.)"
"Imbreghts, P.",http://id.loc.gov/rwo/agents/no2008039417,"Imbreghts, P."
"Powers, Jas. D.",http://id.loc.gov/rwo/agents/no2008039423,"Powers, Jas. D."
"Missigman, L.",http://id.loc.gov/rwo/agents/no2008039435,"Missigman, L."
"Sawyer, G. B.",http://id.loc.gov/rwo/agents/no2008039492,"Sawyer, G. B."
"Sawyer, G. E.",http://id.loc.gov/rwo/agents/no2008039499,"Sawyer, G. E."
"Gerrish, E. P.",http://id.loc.gov/rwo/agents/no2008039503,"Gerrish, E. P."
"Deakin, Jas. S.",http://id.loc.gov/rwo/agents/no2008060000,"Deakin, Jas. S."
"Nishinomiya, S.",http://id.loc.gov/rwo/agents/no2008060028,"Nishinomiya, S."
"Reiffenstein, G.",http://id.loc.gov/rwo/agents/no2008060576,"Reiffenstein, G."
"Pinho, Vicente P.",http://id.loc.gov/rwo/agents/no2008060841,"Pinho, Vicente P."
"Hendges, M.",http://id.loc.gov/rwo/agents/no2008061362,"Hendges, M."
"Eaton, W. C. (William C.)",http://id.loc.gov/rwo/agents/no2008061577,"Eaton, W. C. (William C.)"
"Koppenhagen, Wilh.",http://id.loc.gov/rwo/agents/no2008108379,"Koppenhagen, Wilh."
"Von Babo, Arthur",http://id.loc.gov/rwo/agents/no2008108435,"Von Babo, Arthur"
"Jaenicke, H.",http://id.loc.gov/rwo/agents/no2008108468,"Jaenicke, H."
"Chalmandrier, Nicolas.",http://id.loc.gov/rwo/agents/no2008108482,"Chalmandrier, Nicolas."
"Mirbeck, C. L. B. (C. Lorenz B.)",http://id.loc.gov/rwo/agents/no2008108483,"Mirbeck, C. L. B. (C. Lorenz B.)"
"Edmonston, Gertrude J.",http://id.loc.gov/rwo/agents/no2008125557,"Edmonston, Gertrude J."
"Killian, C. A.",http://id.loc.gov/rwo/agents/no2008138344,"Killian, C. A."
"Frauenthal, B. W. (Barney W.)",http://id.loc.gov/rwo/agents/no2008138740,"Frauenthal, B. W. (Barney W.)"
"Poppleton, Thomas H.",http://id.loc.gov/rwo/agents/no2010150669,"Poppleton, Thomas H."
"Cummin, R. D. (Robert D.)",http://id.loc.gov/rwo/agents/no2010203859,"Cummin, R. D. (Robert D.)"
"Vallardi, Antonio.",http://id.loc.gov/rwo/agents/no2012093630,"Vallardi, Antonio."
"Bignell, John C.",http://id.loc.gov/rwo/agents/no2013010576,"Bignell, John C."
"Lenthold, H. F.",http://id.loc.gov/rwo/agents/no2013010598,"Lenthold, H. F."
"Oertly, B.",http://id.loc.gov/rwo/agents/no2013074926,"Oertly, B."
"Hurd, D. F.",http://id.loc.gov/rwo/agents/no2013074940,"Hurd, D. F."
"Christodoulo, C.",http://id.loc.gov/rwo/agents/no2014049634,"Christodoulo, C."
"Pestagalli, Ang.",http://id.loc.gov/rwo/agents/no2014156037,"Pestagalli, Ang."
"Cruchley, G. F.",http://id.loc.gov/rwo/agents/no89014593,"Cruchley, G. F."
"Dripps, M. (Matthew)",http://id.loc.gov/rwo/agents/no93016619,"Dripps, M. (Matthew)"
